Time resolution is 1 ps
[ENCAP STATE] Time: 261165000 | State changed to: 16
[ENCAP STATE] Time: 261175000 | State changed to: 15
[ENCAP STATE] Time: 261185000 | State changed to: 14
[ENCAP STATE] Time: 261195000 | State changed to: 15
[ENCAP STATE] Time: 261225000 | State changed to: 14
[ENCAP STATE] Time: 261235000 | State changed to: 15
[ENCAP STATE] Time: 261265000 | State changed to: 14
[ENCAP STATE] Time: 261275000 | State changed to: 15
[ENCAP STATE] Time: 261305000 | State changed to: 14
[ENCAP STATE] Time: 261315000 | State changed to: 15
[ENCAP STATE] Time: 261345000 | State changed to: 14
[ENCAP STATE] Time: 261355000 | State changed to: 15
[ENCAP STATE] Time: 261385000 | State changed to: 14
[ENCAP STATE] Time: 261395000 | State changed to: 15
[ENCAP STATE] Time: 261425000 | State changed to: 14
[ENCAP STATE] Time: 261435000 | State changed to: 15
[ENCAP STATE] Time: 261465000 | State changed to: 14
[ENCAP STATE] Time: 261475000 | State changed to: 15
[ENCAP STATE] Time: 261505000 | State changed to: 14
[ENCAP STATE] Time: 261515000 | State changed to: 16
[ENCAP STATE] Time: 261525000 | State changed to: 15
[ENCAP STATE] Time: 261555000 | State changed to: 14
[ENCAP STATE] Time: 261565000 | State changed to: 15
[ENCAP STATE] Time: 261595000 | State changed to: 14
[ENCAP STATE] Time: 261605000 | State changed to: 15
[ENCAP STATE] Time: 261635000 | State changed to: 14
[ENCAP STATE] Time: 261645000 | State changed to: 15
[ENCAP STATE] Time: 261675000 | State changed to: 14
[ENCAP STATE] Time: 261685000 | State changed to: 15
[ENCAP STATE] Time: 261715000 | State changed to: 14
[ENCAP STATE] Time: 261725000 | State changed to: 15
[ENCAP STATE] Time: 261755000 | State changed to: 14
[ENCAP STATE] Time: 261765000 | State changed to: 15
[ENCAP STATE] Time: 261795000 | State changed to: 14
[ENCAP STATE] Time: 261805000 | State changed to: 15
[ENCAP STATE] Time: 261835000 | State changed to: 14
[ENCAP STATE] Time: 261845000 | State changed to: 15
[ENCAP STATE] Time: 261865000 | State changed to: 16
[ENCAP STATE] Time: 261875000 | State changed to: 15
